Name,Spearman
Cc72_00013485-RA,-0.40824829
Cc72_00013490-RA,
Cc72_00013493-RA,-0.107142857
Cc72_00013489-RA,-0.25226249
Cc72_00013492-RA,-0.936974961
Cc72_00013491-RA,0.607142857
Cc72_00013495-RA,-0.928571429
Cc72_00013496-RA,-0.489978944
Cc72_00013494-RA,
Cc72_00013505-RA,-0.036037499
Cc72_00013509-RA,-0.964285714
Cc72_00013504-RA,
Cc72_00013498-RA,-0.25
Cc72_00013506-RA,0.714285714
Cc72_00013507-RA,-0.821428571
Cc72_00013500-RA,-0.214285714
Cc72_00013497-RA,-0.071428571
Cc72_00013510-RA,-0.75
Cc72_00013503-RA,0.857142857
Cc72_00013499-RA,0.571428571
Cc72_00013508-RA,0.571428571
Cc72_00013501-RA,0.464285714
Cc72_00013502-RA,-0.866921447
Cc72_00013511-RA,-0.214285714
Cc72_00013512-RA,
Cc72_00013514-RA,-0.178571429
Cc72_00013513-RA,-0.178571429
Cc72_00013518-RA,-0.5
Cc72_00013520-RA,0.357142857
Cc72_00013519-RA,-0.25226249
Cc72_00013517-RA,-0.612372436
Cc72_00013515-RA,
Cc72_00013516-RA,
Cc72_00013529-RA,
Cc72_00013527-RA,0.571428571
Cc72_00013524-RA,
Cc72_00013523-RA,-0.071428571
Cc72_00013530-RA,-0.75
Cc72_00013528-RA,-0.428571429
Cc72_00013521-RA,-0.5
Cc72_00013522-RA,-0.489978944
Cc72_00013531-RA,-0.107142857
Cc72_00013525-RA,
Cc72_00013526-RA,
Cc72_00013532-RA,-0.714285714
Cc72_00013536-RA,-0.714285714
Cc72_00013534-RA,-0.785714286
Cc72_00013535-RA,0.357142857
Cc72_00013538-RA,0.428571429
Cc72_00013537-RA,-0.133630621
Cc72_00013533-RA,0.107142857
Cc72_00013540-RA,
Cc72_00013539-RA,
Cc72_00013544-RA,0.607142857
Cc72_00013546-RA,-0.142857143
Cc72_00013543-RA,0.785714286
Cc72_00013542-RA,-0.571428571
Cc72_00013545-RA,-0.857142857
Cc72_00013541-RA,
Cc72_00013549-RA,0.321428571
Cc72_00013547-RA,-0.178571429
Cc72_00013550-RA,-0.035714286
Cc72_00013548-RA,
Cc72_00013555-RA,-0.074124932
Cc72_00013554-RA,-0.107142857
Cc72_00013556-RA,-0.785714286
Cc72_00013552-RA,-0.357142857
Cc72_00013553-RA,-0.071428571
Cc72_00013551-RA,-0.964285714
Cc72_00013557-RA,0.142857143
Cc72_00013558-RA,-0.464285714
Cc72_00013561-RA,0.035714286
Cc72_00013560-RA,-0.512271764
Cc72_00013559-RA,-0.666693722
Cc72_00013563-RA,0.857142857
Cc72_00013562-RA,0.392857143
Cc72_00013564-RA,-0.667124385
Cc72_00013566-RA,-0.714285714
Cc72_00013565-RA,0.354649683
Cc72_00013569-RA,-0.392857143
Cc72_00013568-RA,-0.285714286
Cc72_00013567-RA,
Cc72_00013573-RA,-0.785714286
Cc72_00013572-RA,
Cc72_00013570-RA,-0.857142857
Cc72_00013574-RA,-0.5
Cc72_00013575-RA,
Cc72_00013571-RA,-0.321428571
Cc72_00013576-RA,-0.926561646
Cc72_00013580-RA,-0.75
Cc72_00013581-RA,-0.178571429
