Name,Pearson
Cc72_00013619-RA,-0.533264642
Cc72_00013620-RA,0.366425023
Cc72_00013622-RA,-0.580172034
Cc72_00013617-RA,0.549742505
Cc72_00013618-RA,-0.603523208
Cc72_00013623-RA,-0.601241236
Cc72_00013630-RA,0.488253657
Cc72_00013631-RA,-0.825462508
Cc72_00013626-RA,
Cc72_00013624-RA,-0.795837054
Cc72_00013625-RA,-0.905951681
Cc72_00013629-RA,-0.617970232
Cc72_00013627-RA,-0.731315135
Cc72_00013628-RA,-0.965120333
Cc72_00013632-RA,0.775033345
Cc72_00013637-RA,-0.533264642
Cc72_00013634-RA,-0.948504599
Cc72_00013635-RA,-0.570284799
Cc72_00013633-RA,0.247330849
Cc72_00013639-RA,-0.332678902
Cc72_00013636-RA,-0.856086032
Cc72_00013638-RA,-0.236117197
Cc72_00013642-RA,
Cc72_00013644-RA,
Cc72_00013640-RA,
Cc72_00013643-RA,
Cc72_00013645-RA,0.207071794
Cc72_00013641-RA,
Cc72_00013646-RA,-0.146897453
Cc72_00013649-RA,-0.573988065
Cc72_00013652-RA,-0.772578045
Cc72_00013653-RA,-0.763789202
Cc72_00013651-RA,-0.709455386
Cc72_00013647-RA,-0.547939246
Cc72_00013650-RA,-0.842105284
Cc72_00013648-RA,-0.5187235
Cc72_00013654-RA,
Cc72_00013657-RA,-0.337847969
Cc72_00013656-RA,-0.62025472
Cc72_00013659-RA,0.148390936
Cc72_00013655-RA,-0.954673488
Cc72_00013658-RA,0.24166749
Cc72_00013660-RA,-0.648277362
Cc72_00013661-RA,0.554483201
Cc72_00013668-RA,
Cc72_00013667-RA,
Cc72_00013662-RA,-0.303179103
Cc72_00013663-RA,0.557294142
Cc72_00013664-RA,-0.479025802
Cc72_00013665-RA,-0.823237644
Cc72_00013669-RA,
Cc72_00013670-RA,-0.537396038
Cc72_00013666-RA,-0.533264642
Cc72_00013671-RA,
Cc72_00013676-RA,0.233625819
Cc72_00013673-RA,-0.550543111
Cc72_00013682-RA,
Cc72_00013674-RA,0.73554833
Cc72_00013675-RA,0.481199741
Cc72_00013677-RA,-0.380109683
Cc72_00013679-RA,-0.721167904
Cc72_00013683-RA,-0.007505276
Cc72_00013678-RA,0.801078039
Cc72_00013680-RA,0.437493565
Cc72_00013681-RA,0.330683099
Cc72_00013672-RA,
Cc72_00013697-RA,0.063912966
Cc72_00013693-RA,-0.332971264
Cc72_00013689-RA,0.066829283
Cc72_00013701-RA,0.207071794
Cc72_00013696-RA,
Cc72_00013702-RA,
Cc72_00013695-RA,
Cc72_00013694-RA,0.474127423
Cc72_00013700-RA,0.452696476
Cc72_00013699-RA,
Cc72_00013707-RA,0.484231861
Cc72_00013708-RA,0.207071794
Cc72_00013704-RA,0.207071794
Cc72_00013713-RA,
Cc72_00013714-RA,0.484231861
Cc72_00013716-RA,-0.513993756
Cc72_00013718-RA,-0.533264642
Cc72_00013719-RA,-0.700808327
Cc72_00013692-RA,0.313673012
Cc72_00013690-RA,-0.008584312
Cc72_00013722-RA,-0.318714728
Cc72_00013709-RA,
Cc72_00013717-RA,
Cc72_00013684-RA,-0.323723263
Cc72_00013721-RA,
Cc72_00013703-RA,-0.681871277
Cc72_00013720-RA,
Cc72_00013706-RA,0.844787255
Cc72_00013691-RA,-0.276854645
Cc72_00013698-RA,
Cc72_00013712-RA,0.207071794
Cc72_00013723-RA,-0.749356
Cc72_00013705-RA,-0.513993756
Cc72_00013685-RA,
Cc72_00013687-RA,0.132025226
Cc72_00013715-RA,-0.385575273
Cc72_00013710-RA,0.410114644
Cc72_00013688-RA,
Cc72_00013686-RA,
Cc72_00013711-RA,
Cc72_00013724-RA,0.641686568
Cc72_00013729-RA,0.01969528
Cc72_00013725-RA,0.508693645
Cc72_00013726-RA,-0.773252678
Cc72_00013728-RA,-0.689215473
Cc72_00013727-RA,-0.915317384
Cc72_00013731-RA,0.410114644
Cc72_00013730-RA,0.011089672
Cc72_00013732-RA,-0.150576699
Cc72_00013733-RA,-0.244761585
Cc72_00013736-RA,0.566189403
Cc72_00013734-RA,
Cc72_00013735-RA,-0.688959503
Cc72_00013738-RA,
Cc72_00013737-RA,-0.513993756
Cc72_00013740-RA,0.827560274
Cc72_00013743-RA,-0.590529959
Cc72_00013742-RA,
Cc72_00013741-RA,
Cc72_00013739-RA,0.493619851
Cc72_00013747-RA,0.681796643
Cc72_00013746-RA,-0.533264642
Cc72_00013744-RA,-0.588657754
Cc72_00013745-RA,-0.610409744
Cc72_00013753-RA,0.581719379
Cc72_00013748-RA,-0.730569875
Cc72_00013749-RA,-0.927744549
Cc72_00013752-RA,-0.720551793
Cc72_00013751-RA,0.721667572
Cc72_00013750-RA,0.265397412
Cc72_00013755-RA,-0.870210754
Cc72_00013754-RA,-0.863028309
Cc72_00013758-RA,-0.772725337
Cc72_00013756-RA,-0.781410591
Cc72_00013757-RA,0.274260643
Cc72_00013759-RA,-0.414453753
Cc72_00013760-RA,-0.601931621
Cc72_00013765-RA,-0.455545014
Cc72_00013764-RA,
Cc72_00013761-RA,0.455109215
Cc72_00013763-RA,-0.509379555
Cc72_00013762-RA,-0.664981226
Cc72_00013768-RA,-0.812786203
Cc72_00013767-RA,-0.080608312
Cc72_00013766-RA,0.924901633
Cc72_00013775-RA,0.3177277
Cc72_00013770-RA,-0.057362804
Cc72_00013771-RA,-0.672228969
Cc72_00013769-RA,-0.829567701
Cc72_00013773-RA,0.011466342
Cc72_00013772-RA,-0.662867641
Cc72_00013774-RA,0.591794669
Cc72_00013776-RA,-0.452563417
Cc72_00013779-RA,0.665906844
Cc72_00013777-RA,0.490415866
