Name,log2FoldChange
Cc72_00013860-RA,-0.009093114
Cc72_00013864-RA,0.616709644
Cc72_00013869-RA,0.446851476
Cc72_00013867-RA,0.334956574
Cc72_00013868-RA,-0.444780112
Cc72_00013874-RA,-0.181109872
Cc72_00013871-RA,-0.237671256
Cc72_00013876-RA,-0.176789823
Cc72_00013873-RA,-2.87412911
Cc72_00013879-RA,0.311378696
Cc72_00013875-RA,0.319441626
Cc72_00013877-RA,0.542613229
Cc72_00013872-RA,-0.507359596
Cc72_00013878-RA,-0.277564193
Cc72_00013870-RA,-0.752074605
Cc72_00013881-RA,NA
Cc72_00013883-RA,NA
Cc72_00013880-RA,0.461137656
Cc72_00013887-RA,0.050678865
Cc72_00013885-RA,NA
Cc72_00013884-RA,0.007819689
Cc72_00013888-RA,-0.981321103
Cc72_00013882-RA,0.140432232
Cc72_00013886-RA,NA
Cc72_00013892-RA,-0.17385155
Cc72_00013889-RA,0.043426347
Cc72_00013897-RA,-0.588578481
Cc72_00013893-RA,NA
Cc72_00013895-RA,NA
Cc72_00013896-RA,NA
